Movie Name,Genre,Rating,Votes,Duration
248. Samana Sunrise,Romance,5.0, (250),1h 40m
249. Meet Me Next Christmas,Romance,5.7, (8.6K),1h 45m
250. Varshangalkku Shesham,Romance,6.6, (4.2K),2h 46m
251. Perfect Match,Romance,6.6, (356),1h 41m
252. Bigayan,Romance,6.2, (46),43m
253. The Groomsmen: First Look,Romance,6.1, (412),1h 22m
254. Alaap,Romance,6.2, (129),2h 25m
255. Lyubvi ne byvaet?,Romance,5.4, (167),1h 45m
256. Gone Running,Romance,7.0, (4.4K),1h 45m
257. Viva La Vida,Romance,7.5, (879),2h 10m
258. A Circus Tale & a Love Song,Romance,5.9, (111),1h 54m
259. Goyo,Romance,6.6, (2.3K),1h 46m
260. X & Y,Romance,8.1, (17),1h 41m
261. DeAr,Romance,5.1, (1.4K),2h 12m
262. She Taught Love,Romance,5.3, (428),1h 42m
263. Pure Love,Romance,7.1, (202),1h 49m
264. Little Hearts,Romance,5.9, (2.6K),2h 16m
265. Pasutri Gaje,Romance,6.0, (355),1h 49m
266. Elevator,Romance,5.2, (185),1h 35m
267. Marry Christmas,Romance,6.4, (66),1h 25m
268. Shigatsu ni nareba kanojo wa,Romance,6.2, (465),1h 48m
269. Enchanting Christmas,Romance,6.3, (366),1h 31m
270. Roti Kapda Romance,Romance,5.8, (2.5K),2h 33m
271. The Great Gujarati Matrimony,Romance,7.6, (94),2h 24m
272. Happiness Is,Romance,3.8, (309),1h 36m
273. Explosions in My Heart,Romance,6.7, (46),1h 45m
"274. Love, Sitara",Romance,5.3, (307),1h 45m
275. À toute allure,Romance,5.4, (231),1h 26m
"276. LSD 2: Love, Sex Aur Dhokha 2",Romance,3.8, (2.8K),1h 59m
277. Love Me If You Dare,Romance,4.3, (483),2h 8m
278. Azzamine,Romance,7.0, (120),1h 44m
"279. Walter, Grace & The Submarine",Romance,9.2, (7),1h 40m
280. Amar Prem Ki Prem Kahani,Romance,4.5, (674),1h 57m
281. Langue Étrangère,Romance,6.6, (570),1h 41m
282. Stranded Pearl,Romance,5.7, (28),1h 30m
283. Valley of the Shadow of Death,Romance,6.5, (76),1h 24m
284. Karma's a Bitch,Romance,4.5, (43),1h 29m
285. El Roomie,Romance,5.8, (315),1h 39m
286. Skinny Love,Romance,5.6, (136),1h 32m
287. No Pressure,Romance,5.1, (1.1K),1h 51m
288. Kupu-Kupu Kertas,Romance,6.5, (223),1h 53m
289. Honey Money Phony,Romance,6.2, (221),1h 55m
290. A '90s Christmas,Romance,6.0, (1.1K),1h 30m
291. My Boo,Romance,6.1, (731),2h 5m
292. Come Closer,Romance,7.0, (296),1h 47m
293. In Good Hands 2,Romance,5.3, (1K),1h 39m
294. Tendaberry,Romance,6.4, (271),1h 55m
295. Kaaduvetty,Romance,3.2, (149),2h 37m
296. A Brooklyn Love Story,Romance,5.3, (114),1h 47m
297. Fruitcake,Romance,5.3, (169),1h 37m
298. The Groomsmen: Second Chances,Romance,6.1, (470),1h 24m
299. Meet Me in Rome,Romance,5.2, (693),1h 25m
300. Now or Never!,Romance,2.2, (17K),
